numero_jugador,nombre,apellido,dni,telefono,categoria,posicion,fecha_nacimiento,obra_social,apto_medico,estado
1,Federico,Lopez,32839221,1146913810,Primera,Defensor,1995-03-24,Swiss Medical,Pendiente,Suspendido
2,Matias,Rojas,34917183,1189254563,Primera,Mediocampista,1989-01-03,Medicus,Vigente,Activo
3,Emiliano,Gomez,38671884,1197226012,Primera,Delantero,2001-04-15,Jerárquicos Salud,Vigente,Activo
4,Ignacio,Aguirre,37357277,1166722344,Primera,Mediocampista,1996-03-07,Sancor Salud,Vigente,Activo
5,Nicolas,Lopez,44045349,1156164955,Primera,Mediocampista,1989-12-15,Unión Personal,Vigente,Activo
6,Benjamin,Rojas,41837430,1194374605,Primera,Mediocampista,1994-12-03,OSDE,Pendiente,Activo
7,Ignacio,Romero,34677374,1141244663,Primera,Defensor,2000-05-15,Sancor Salud,Vigente,Activo
8,Lucas,Garcia,40958289,1196977837,Primera,Defensor,1993-09-24,Medicus,Vigente,Activo
9,Nicolas,Diaz,39369062,1153524491,Primera,Arquero,1995-01-26,Sancor Salud,Vigente,Activo
10,Benjamin,Garcia,42558837,1138538251,Primera,Delantero,2000-11-15,Galeno,Vigente,Activo
11,Santino,Ponce,40816145,1188461803,Primera,Mediocampista,2000-06-08,Galeno,Vigente,Activo
12,Benjamin,Quiroga,33580963,1124716857,Primera,Defensor,1993-11-14,Jerárquicos Salud,Vigente,Activo
13,Nicolas,Castro,47705148,1181016525,Primera,Mediocampista,2005-01-22,Swiss Medical,Pendiente,Activo
14,Ignacio,Diaz,43414394,1124972279,Primera,Mediocampista,2001-03-15,OSDE,Vencido,Suspendido
15,Bautista,Medina,37994562,1178139880,Primera,Defensor,1997-11-17,Jerárquicos Salud,Vigente,Activo
16,Lucas,Quiroga,37420686,1182394227,Primera,Delantero,1988-10-11,OSECAC,Vigente,Activo
17,Damian,Ruiz,42318461,1142138745,Primera,Arquero,1995-10-03,Swiss Medical,Vencido,Activo
18,Alan,Fernandez,36219822,1127232410,Reserva,Delantero,2008-03-09,Unión Personal,Pendiente,Activo
19,Joaquin,Peralta,38749509,1151837852,Reserva,Mediocampista,2006-08-17,OSECAC,Vigente,Activo
20,Santino,Fernandez,43344269,1112823170,Reserva,Delantero,2005-10-08,OSDE,Vigente,Suspendido
21,Federico,Rodriguez,39682011,1119046318,Reserva,Arquero,2006-02-17,Medicus,Vigente,Lesionado
22,Santiago,Garcia,36439648,1186644106,Reserva,Delantero,2005-08-26,Avalian,Vigente,Activo
23,Valentino,Molina,46463677,1157553014,Reserva,Mediocampista,2007-08-28,OSDE,Pendiente,Lesionado
24,Federico,Lopez,34033823,1164038913,Reserva,Mediocampista,2004-04-07,Medicus,Vigente,Activo
25,Thiago,Acosta,38156836,1147385696,Reserva,Delantero,2005-02-15,Unión Personal,Vigente,Activo
26,Federico,Rojas,32495191,1122517517,Reserva,Defensor,2005-07-16,OSECAC,Vigente,Activo
27,Matias,Rodriguez,37524305,1160864911,Reserva,Arquero,2007-05-26,OSECAC,Vigente,Activo
28,Maximo,Ponce,48329982,1130776478,Reserva,Defensor,2006-04-02,Jerárquicos Salud,Vencido,Activo
29,Mateo,Ponce,42522831,1117672593,Reserva,Arquero,2008-08-17,Unión Personal,Vigente,Activo
30,Ramiro,Fernandez,38235251,1119196777,Reserva,Defensor,2005-07-04,Jerárquicos Salud,Vigente,Activo
31,Emiliano,Rodriguez,34750906,1166267415,Reserva,Delantero,2006-05-07,Sancor Salud,Vigente,Activo
32,Nicolas,Martinez,42066231,1171367643,Reserva,Mediocampista,2004-01-15,Jerárquicos Salud,Vigente,Activo
33,Benjamin,Rojas,39152271,1177898694,Reserva,Mediocampista,2005-06-03,Medicus,Vigente,Activo
34,Tomas,Benitez,42150790,1192097999,Reserva,Delantero,2004-11-27,Unión Personal,Vigente,Lesionado
35,Valentino,Godoy,36506062,1145496015,Sub 20,Defensor,2006-12-18,Galeno,Vigente,Activo
36,Emiliano,Garcia,43505153,1137326368,Sub 20,Mediocampista,2008-08-09,OSDE,Vigente,Lesionado
37,Facundo,Cabrera,41283847,1115917225,Sub 20,Arquero,2007-03-21,IOMA,Vigente,Suspendido
38,Martin,Rojas,46350791,1185283645,Sub 20,Arquero,2006-02-23,Galeno,Vigente,Activo
39,Alan,Ruiz,36969202,1167684996,Sub 20,Defensor,2006-05-12,OSDE,Vigente,Activo
40,Bruno,Sosa,35449181,1157469942,Sub 20,Delantero,2007-10-24,Galeno,Vigente,Activo
41,Kevin,Aguirre,37940891,1165337219,Sub 20,Arquero,2006-12-11,Avalian,Pendiente,Suspendido
42,Kevin,Sosa,40952514,1131367172,Sub 20,Defensor,2007-01-28,OSECAC,Vigente,Activo
43,Alan,Peralta,47445213,1156930359,Sub 20,Mediocampista,2006-04-01,Medicus,Vigente,Activo
44,Bautista,Cardozo,34329373,1147463522,Sub 20,Mediocampista,2008-09-13,Unión Personal,Vigente,Activo
45,Valentino,Godoy,40764927,1133966966,Sub 20,Mediocampista,2006-02-20,Avalian,Vigente,Suspendido
46,Kevin,Alvarez,46642948,1191363974,Sub 20,Delantero,2006-07-19,Medicus,Vigente,Activo
47,Maximo,Acosta,32056749,1179782527,Sub 20,Delantero,2008-12-24,Medicus,Vigente,Activo
48,Benjamin,Molina,43079674,1193638503,Sub 20,Mediocampista,2008-02-24,IOMA,Vigente,Activo
